"Code","Name","Disbursement","Commitment"
"16061","Culture and recreation","1717470","1644916"
"16063","Narcotics control","9011100","8926000"
"16064","Social mitigation of HIV/AIDS","1643807","307106"
"16070","Labour Rights","7620000","1000000"
"16080","Social Dialogue","23000","0"
"","Other aid","2102488161.52","2260669066.04"
"510","General budget support","6603595.92","2189920"
"51010","General budget support-related aid","6603595.92","2189920"
"520","Development Food Assistance","3105081","3082755"
"52010","Food assistance","3105081","3082755"
"530","Other Commodity Assistance","81237.37999999999","12852"
"53040","Import support (commodities)","81237.37999999999","12852"
"600","Action relating to debt","3000000","3000000"
"60030","Relief of multilateral debt","3000000","3000000"
"910","Administrative costs of donors","268910867.22999996","284491721.22999996"
"91010","Administrative costs (non-sector allocable)","268910867.22999996","284491721.22999996"
"930","Refugees in donor countries","402081483.63","402081483.75"
"93010","Refugees/asylum seekers in donor countries (non-sector allocable)","383049707.63","383049708.09000003"
"93012","Refugees/asylum seekers in donor countries - training","13013746","13013746"
"93015","Refugees/asylum seekers in donor countries - voluntary repatriation","166067","166066.53"
"93016","Refugees/asylum seekers in donor countries - transport","5851963","5851963.13"
"998","Unallocated/ Unspecified","1418705896.3600001","1565810334.06"
"99810","Sectors not specified","1380802635.5200002","1532084174.8999999"
"99820","Promotion of development awareness","37903260.83999999","33726159.16"
"130","Population policies / programmes and reproductive health","204384315.84","177382834"
"130","Population Policies/Programmes & Reproductive Health","204384315.84","177382834"
"13010","Population policy and administrative management","142651849.72","84884228"
"13020","Reproductive health care","43678759.120000005","70129298"
"13030","Family planning","3179449","1498259"
"13040","STD control including HIV/AIDS","11517084","11653030"
"13081","Personnel development for population and reproductive health","3357174","9218019"
"3","Productive sectors","449128663.37000006","331866068.35"
"311","Agriculture","171160247.32000002","127785495.15"
"31110","Agricultural policy and administrative management","11282378","1034882"
"31120","Agricultural development","119007563.28","111993780"
"31130","Agricultural land resources","7766502.58","0"
"31140","Agricultural water resources","383159","40000"
"31150","Agricultural inputs","1511195.3699999999","732411.06"
"31161","Food crop production","3764320.7","3398198"
"31162","Industrial crops/export crops","1688094.2499999995","1104227"
"31163","Livestock","759827","228346"
"31165","Agricultural alternative development","5888449","5818013"
"31166","Agricultural extension","541403.77","49668"
"31181","Agricultural education/training","687612.83","102297"
"31182","Agricultural research","3541951.23","811325"
"31191","Agricultural services","5697631.12","521245"
"31194","Agricultural co-operatives","8640159.19","1951103.0899999999"
"312","Forestry","142872951.15","92327986.2"
"31210","Forestry policy and administrative management","43669784.25","30227431"
"31220","Forestry development","93353856.52","58803555.2"
"31261","Fuelwood/charcoal","202630","490000"
"31281","Forestry education/training","320401","107000"
"31282","Forestry research","5315123.33","2700000"
"31291","Forestry services","11156.05","0"
"313","Fishing","9902992.969999999","7714207"
"31310","Fishing policy and administrative management","6059798.83","6700000"
"31320","Fishery development","1244567.8599999999","865238"
"31381","Fishery education/training","1881","0"
